"team","year","league","w","l","t","playoffs","pts.for","pts.ag","pt.dif","coach","o.pt.rnk","o.yd.rnk","d.pt.rnk","d.yd.rnk","pt.dif.rnk","yd.dif.rnk","n.teams","w.pct","pt.dif.gm","pt.dif.qnt","pt.dif.zs"
"min",2000,"NFL",11,5,0,"Lost Conf",397,371,26,"Green",5,5,24,28,15,15,31,0.6875,1.625,0.533333333333333,0.222775140326433
"min",1999,"NFL",10,6,0,"Lost Div",399,335,64,"Green",5,3,18,27,9,13,31,0.625,4,0.733333333333333,0.597708120851865
"min",1998,"NFL",15,1,0,"Lost Conf",556,296,260,"Green",1,2,6,13,1,2,30,0.9375,16.25,1,2.33533006318473
"min",1997,"NFL",9,7,0,"Lost Div",354,359,-5,"Green",11,8,19,29,16,21,30,0.5625,-0.3125,0.482758620689655,-0.0564421911306948
"min",1996,"NFL",9,7,0,"Lost WC",298,315,-17,"Green",23,12,15,16,17,11,30,0.5625,-1.0625,0.448275862068966,-0.180242243539204
"min",1995,"NFL",8,8,0,"",412,385,27,"Green",4,4,27,20,10,8,30,0.5,1.6875,0.689655172413793,0.318489523503799
"min",1994,"NFL",10,6,0,"Lost WC",356,314,42,"Green",7,3,13,5,8,2,28,0.625,2.625,0.740740740740741,0.493810179346711
"min",1993,"NFL",9,7,0,"Lost WC",277,290,-13,"Green",20,17,12,1,17,8,28,0.5625,-0.8125,0.407407407407407,-0.144063545185596
"min",1992,"NFL",11,5,0,"Lost WC",374,249,125,"Green",4,11,7,8,4,10,28,0.6875,7.8125,0.888888888888889,1.23049404508387
"min",1991,"NFL",8,8,0,"",301,306,-5,"Burns",13,10,16,14,16,12,28,0.5,-0.3125,0.444444444444444,-0.0444853890315275
"min",1990,"NFL",6,10,0,"",351,326,25,"Burns",9,12,16,13,13,12,28,0.375,1.5625,0.555555555555556,0.239382563672032
"min",1989,"NFL",10,6,0,"Lost Div",351,275,76,"Burns",11,14,6,1,10,3,28,0.625,4.75,0.666666666666667,0.771512862799386
"min",1988,"NFL",11,5,0,"Lost Div",406,233,173,"Burns",4,7,2,1,1,1,28,0.6875,10.8125,1,2.19106349748651
"min",1987,"NFL",8,7,0,"Lost Conf",336,335,1,"Burns",13,15,16,10,12,14,28,0.533333333333333,0.0666666666666667,0.592592592592593,0.0110406096704667
"min",1986,"NFL",9,7,0,"",398,273,125,"Burns",4,4,5,11,4,4,28,0.5625,7.8125,0.888888888888889,1.27858081267388
"min",1985,"NFL",7,9,0,"",346,359,-13,"Grant",14,16,17,16,16,20,28,0.4375,-0.8125,0.444444444444444,-0.125190912181867
"min",1984,"NFL",3,13,0,"",276,484,-208,"Steckel",24,25,28,28,28,28,28,0.1875,-13,0,-1.7592617507548
"min",1983,"NFL",8,8,0,"",316,348,-32,"Grant",18,20,17,19,20,21,28,0.5,-2,0.296296296296296,-0.363445207462908
"min",1982,"NFL",5,4,0,"Lost Div",187,198,-11,"Grant",13,14,20,19,16,15,28,0.555555555555556,-1.22222222222222,0.444444444444444,-0.200814250850399
"min",1981,"NFL",7,9,0,"",325,369,-44,"Grant",13,6,21,17,18,10,28,0.4375,-2.75,0.37037037037037,-0.461498968720205
"min",1980,"NFL",9,7,0,"Lost Div",317,308,9,"Grant",15,11,11,26,14,20,28,0.5625,0.5625,0.518518518518519,0.0918902597356736
"min",1979,"NFL",7,9,0,"",259,337,-78,"Grant",24,19,17,18,22,21,28,0.4375,-4.875,0.222222222222222,-1.01319273193943
"min",1978,"NFL",8,7,1,"Lost Div",294,306,-12,"Grant",12,17,20,14,13,15,28,0.5,-0.75,0.555555555555556,-0.155336039947131
"min",1977,"NFL",9,5,0,"Lost Conf",231,227,4,"Grant",16,14,13,11,14,7,28,0.642857142857143,0.285714285714286,0.518518518518519,0.0453961789920845
"min",1976,"NFL",11,2,1,"Lost SB",305,176,129,"Grant",9,6,2,6,5,3,28,0.785714285714286,9.21428571428571,0.851851851851852,0.99903213650086
"min",1975,"NFL",12,2,0,"Lost Div",377,180,197,"Grant",3,5,3,1,2,1,26,0.857142857142857,14.0714285714286,0.96,1.58596425920143
"min",1974,"NFL",10,4,0,"Lost SB",310,195,115,"Grant",5,3,3,10,4,5,26,0.714285714285714,8.21428571428571,0.88,1.31077816380014
"min",1973,"NFL",12,2,0,"Lost SB",296,168,128,"Grant",9,7,2,12,5,8,26,0.857142857142857,9.14285714285714,0.84,1.01617517384854
"min",1972,"NFL",7,7,0,"",301,252,49,"Grant",12,12,11,5,10,7,26,0.5,3.5,0.64,0.410314464105093
"min",1971,"NFL",11,3,0,"Lost Div",245,139,106,"Grant",18,23,1,2,4,14,26,0.785714285714286,7.57142857142857,0.88,1.07117275666464
"min",1970,"NFL",12,2,0,"Lost Div",335,143,192,"Grant",3,19,1,1,1,1,26,0.857142857142857,13.7142857142857,1,1.91615621361775
"min",1969,"NFL",12,2,0,"Lost SB",379,133,246,"Grant",1,10,1,1,1,2,16,0.857142857142857,17.5714285714286,1,2.36095325538604
"min",1968,"NFL",8,6,0,"Lost Div",282,242,40,"Grant",8,14,6,5,6,9,16,0.571428571428571,2.85714285714286,0.666666666666667,0.283416930038466
"min",1967,"NFL",3,8,3,"",233,294,-61,"Grant",14,14,7,6,13,12,16,0.214285714285714,-4.35714285714286,0.2,-0.501900392839722
"min",1966,"NFL",4,9,1,"",292,304,-12,"Van Brocklin",9,4,8,5,9,3,15,0.285714285714286,-0.857142857142857,0.428571428571429,-0.0990969232582447
"min",1965,"NFL",7,7,0,"",383,403,-20,"Van Brocklin",4,4,14,7,9,4,14,0.5,-1.42857142857143,0.384615384615385,-0.240416900922204
"min",1964,"NFL",8,5,1,"",355,296,59,"Van Brocklin",4,6,6,10,4,5,14,0.571428571428571,4.21428571428571,0.769230769230769,0.595408763309581
"min",1963,"NFL",5,8,1,"",309,390,-81,"Van Brocklin",8,11,12,9,10,10,14,0.357142857142857,-5.78571428571429,0.307692307692308,-0.685330625276047
"min",1962,"NFL",2,11,1,"",254,410,-156,"Van Brocklin",13,12,14,12,14,13,14,0.142857142857143,-11.1428571428571,0,-1.40646306523626
"min",1961,"NFL",3,11,0,"",285,407,-122,"Van Brocklin",9,12,14,14,12,14,14,0.214285714285714,-8.71428571428571,0.153846153846154,-0.934681992967278
"nwe",2013,"NFL",7,2,0,"",234,175,59,"Belichick",9,11,8,19,9,15,32,0.777777777777778,6.55555555555556,0.741935483870968,0.878035902769453
"nwe",2012,"NFL",12,4,0,"Lost Conf",557,331,226,"Belichick",1,1,9,25,1,5,32,0.75,14.125,1,2.02940265305692
"nwe",2011,"NFL",13,3,0,"Lost SB",513,342,171,"Belichick",3,2,15,31,3,10,32,0.8125,10.6875,0.935483870967742,1.5516648694719
"nwe",2010,"NFL",14,2,0,"Lost Div",518,313,205,"Belichick",1,8,8,25,1,19,32,0.875,12.8125,1,2.11382605956432
"nwe",2009,"NFL",10,6,0,"Lost WC",427,285,142,"Belichick",6,3,5,11,4,3,32,0.625,8.875,0.903225806451613,1.19019459628508
"nwe",2008,"NFL",11,5,0,"",410,309,101,"Belichick",8,5,8,10,6,6,32,0.6875,6.3125,0.838709677419355,0.942038634162093
"nwe",2007,"NFL",16,0,0,"Lost SB",589,274,315,"Belichick",1,1,4,4,1,1,32,1,19.6875,1,2.7081326872932
"nwe",2006,"NFL",12,4,0,"Lost Conf",385,237,148,"Belichick",7,11,2,6,4,8,32,0.75,9.25,0.903225806451613,1.59949278352834
"nwe",2005,"NFL",10,6,0,"Lost Div",379,338,41,"Belichick",10,7,17,26,13,14,32,0.625,2.5625,0.612903225806452,0.387294246986427
"nwe",2004,"NFL",14,2,0,"Won SB",437,260,177,"Belichick",4,7,2,9,1,4,32,0.875,11.0625,1,1.93669508483827
"nwe",2003,"NFL",14,2,0,"Won SB",348,238,110,"Belichick",12,17,1,7,6,14,32,0.875,6.875,0.838709677419355,1.1154202295023
"nwe",2002,"NFL",9,7,0,"",381,346,35,"Belichick",10,21,17,23,14,20,32,0.5625,2.1875,0.580645161290323,0.394470766457394
"nwe",2001,"NFL",11,5,0,"Won SB",371,272,99,"Belichick",6,19,6,24,7,25,31,0.6875,6.1875,0.8,1.00946508677676
"nwe",2000,"NFL",5,11,0,"",276,338,-62,"Belichick",25,22,17,20,23,24,31,0.3125,-3.875,0.266666666666667,-0.531233026932264
"nwe",1999,"NFL",8,8,0,"",299,284,15,"Carroll",20,18,7,8,16,12,31,0.5,0.9375,0.5,0.140087840824656
"nwe",1998,"NFL",9,7,0,"Lost WC",337,329,8,"Carroll",11,11,14,20,14,15,30,0.5625,0.5,0.551724137931034,0.0718563096364531
"nwe",1997,"NFL",10,6,0,"Lost Div",369,289,80,"Carroll",8,15,8,19,5,14,30,0.625,5,0.862068965517241,0.903075058091117
"nwe",1996,"NFL",11,5,0,"Lost SB",418,313,105,"Parcells",2,7,14,19,5,12,30,0.6875,6.5625,0.862068965517241,1.11326091597744
"nwe",1995,"NFL",6,10,0,"",294,377,-83,"Parcells",23,12,25,28,25,19,30,0.375,-5.1875,0.172413793103448,-0.979060387067235
"nwe",1994,"NFL",10,6,0,"Lost WC",351,312,39,"Parcells",8,4,12,18,9,7,28,0.625,2.4375,0.703703703703704,0.458538023679089
"nwe",1993,"NFL",5,11,0,"",238,286,-48,"Parcells",22,12,11,13,22,11,28,0.3125,-3,0.222222222222222,-0.531926936069893
"nwe",1992,"NFL",2,14,0,"",205,363,-158,"MacPherson",27,27,23,19,27,28,28,0.125,-9.875,0.0370370370370371,-1.55534447298601
"nwe",1991,"NFL",6,10,0,"",211,305,-94,"MacPherson",25,22,15,26,23,25,28,0.375,-5.875,0.185185185185185,-0.836325313792717
"nwe",1990,"NFL",1,15,0,"",181,446,-265,"Rust",28,26,27,27,28,28,28,0.0625,-16.5625,0,-2.53745517492354
"nwe",1989,"NFL",5,11,0,"",297,391,-94,"Berry",21,8,23,23,23,18,28,0.3125,-5.875,0.185185185185185,-0.954239593462399
"nwe",1988,"NFL",9,7,0,"",250,284,-34,"Berry",24,27,5,5,16,20,28,0.5625,-2.125,0.444444444444444,-0.43061363534417
"nwe",1987,"NFL",8,7,0,"",320,293,27,"Berry",15,23,9,11,9,20,28,0.533333333333333,1.8,0.703703703703704,0.298096461102602
"nwe",1986,"NFL",11,5,0,"Lost Div",412,307,105,"Berry",2,13,10,16,5,12,28,0.6875,6.5625,0.851851851851852,1.07400788264606
"nwe",1985,"NFL",11,5,0,"Lost SB",362,290,72,"Berry",10,9,6,7,6,6,28,0.6875,4.5,0.814814814814815,0.693365052084185
"nwe",1984,"NFL",9,7,0,"",362,352,10,"Meyer,Berry",10,14,18,9,12,11,28,0.5625,0.625,0.592592592592593,0.0845798918632113
"nwe",1983,"NFL",8,8,0,"",274,289,-15,"Meyer",24,13,3,20,15,20,28,0.5,-0.9375,0.481481481481482,-0.170364940998238
"nwe",1982,"NFL",5,4,0,"Lost WC",143,157,-14,"Meyer",21,21,7,13,17,17,28,0.555555555555556,-1.55555555555556,0.407407407407407,-0.255581773809599
"nwe",1981,"NFL",2,14,0,"",322,370,-48,"Erhardt",15,9,22,25,19,18,28,0.125,-3,0.333333333333333,-0.503453420422042
"nwe",1980,"NFL",10,6,0,"",441,325,116,"Erhardt",2,10,17,8,5,7,28,0.625,7.25,0.851851851851852,1.18436334770424
"nwe",1979,"NFL",9,7,0,"",411,326,85,"Erhardt",2,8,15,3,3,3,28,0.5625,5.3125,0.925925925925926,1.10412028480579
"nwe",1978,"NFL",11,5,0,"Lost Div",358,286,72,"Fairbanks,Erhardt,Bullough",4,1,13,9,5,2,28,0.6875,4.5,0.851851851851852,0.932016239682789
"nwe",1977,"NFL",9,5,0,"",278,217,61,"Fairbanks",9,11,9,5,8,5,28,0.642857142857143,4.35714285714286,0.740740740740741,0.692291729629289
"nwe",1976,"NFL",11,3,0,"Lost Div",376,236,140,"Fairbanks",2,8,11,11,4,10,28,0.785714285714286,10,0.888888888888889,1.08422092333427
"nwe",1975,"NFL",3,11,0,"",258,358,-100,"Fairbanks",14,13,22,14,21,15,26,0.214285714285714,-7.14285714285714,0.2,-0.805057999594633
"nwe",1974,"NFL",7,7,0,"",348,289,59,"Fairbanks",2,6,20,13,9,9,26,0.5,4.21428571428571,0.68,0.67248618838442
"nwe",1973,"NFL",5,9,0,"",258,300,-42,"Fairbanks",16,17,16,18,15,18,26,0.357142857142857,-3,0.44,-0.333432478919052
"nwe",1972,"NFL",3,11,0,"",192,446,-254,"Mazur,Bengtson",24,21,26,26,26,26,26,0.214285714285714,-18.1428571428571,0,-2.12693620168763
"nwe",1971,"NFL",6,8,0,"",238,325,-87,"Mazur",19,21,21,15,22,21,26,0.428571428571429,-6.21428571428571,0.16,-0.879170092734186
"nwe",1970,"NFL",2,12,0,"",149,361,-212,"Rush,Mazur",26,26,26,23,26,26,26,0.142857142857143,-15.1428571428571,0,-2.11575581920293
"nwe",1969,"AFL",4,10,0,"",266,316,-50,"Rush",8,10,6,9,7,9,10,0.285714285714286,-3.57142857142857,0.333333333333333,-0.479868547842692
"nwe",1968,"AFL",4,10,0,"",229,406,-177,"Holovak",8,9,10,7,10,8,10,0.285714285714286,-12.6428571428571,0,-1.25411991542021
"nwe",1967,"AFL",3,10,1,"",280,389,-109,"Holovak",5,5,7,6,7,6,9,0.214285714285714,-7.78571428571429,0.25,-0.896838406877537
"nwe",1966,"AFL",8,4,2,"",315,283,32,"Holovak",6,6,3,5,4,5,9,0.571428571428571,2.28571428571429,0.625,0.264258462021986
"nwe",1965,"AFL",4,8,2,"",244,302,-58,"Holovak",8,8,5,3,6,6,8,0.285714285714286,-4.14285714285714,0.285714285714286,-0.69720901267439
"nwe",1964,"AFL",10,3,1,"",365,297,68,"Holovak",3,6,2,4,2,4,8,0.714285714285714,4.85714285714286,0.857142857142857,0.686233828899178
"nwe",1963,"AFL",7,6,1,"Lost Conf",327,257,70,"Holovak",4,6,2,1,4,4,8,0.5,5,0.571428571428571,0.592261034189177
"nwe",1962,"AFL",9,4,1,"",346,295,51,"Holovak",4,3,4,5,3,3,8,0.642857142857143,3.64285714285714,0.714285714285714,0.459805232865701
"nwe",1961,"AFL",9,4,1,"",413,313,100,"Holovak,Saban",2,4,3,3,3,4,8,0.642857142857143,7.14285714285714,0.714285714285714,0.766132781120719
"nwe",1960,"AFL",5,9,0,"",286,349,-63,"Saban",8,7,5,4,6,7,8,0.357142857142857,-4.5,0.285714285714286,-0.717007108079509
"nor",2013,"NFL",6,2,0,"",216,146,70,"Payton",7,7,5,10,6,4,32,0.75,8.75,0.838709677419355,1.04173751176037
"nor",2012,"NFL",7,9,0,"",461,454,7,"Kromer,Vitt",3,2,31,32,15,26,32,0.4375,0.4375,0.548387096774194,0.0628576042982232
"nor",2011,"NFL",13,3,0,"Lost Div",547,339,208,"Payton",2,1,13,24,1,2,32,0.8125,13,1,1.88740522134594
"nor",2010,"NFL",11,5,0,"Lost WC",384,307,77,"Payton",11,6,7,4,7,4,32,0.6875,4.8125,0.806451612903226,0.793973690665623
"nor",2009,"NFL",13,3,0,"Won SB",510,341,169,"Payton",1,1,20,25,1,9,32,0.8125,10.5625,1,1.41649920262098
"nor",2008,"NFL",8,8,0,"",463,393,70,"Payton",1,1,26,23,10,3,32,0.5,4.375,0.709677419354839,0.652898063280658
"nor",2007,"NFL",7,9,0,"",379,388,-9,"Payton",12,4,25,26,19,14,32,0.4375,-0.5625,0.419354838709677,-0.0773752196369484
"nor",2006,"NFL",10,6,0,"Lost Conf",413,322,91,"Payton",5,1,13,11,6,1,32,0.625,5.6875,0.838709677419355,0.983471914196482
"nor",2005,"NFL",3,13,0,"",235,398,-163,"Haslett",31,20,28,14,30,19,32,0.1875,-10.1875,0.0645161290322581,-1.5397307867997
"nor",2004,"NFL",8,8,0,"",348,405,-57,"Haslett",14,15,27,32,24,31,32,0.5,-3.5625,0.258064516129032,-0.623681467998766
"nor",2003,"NFL",8,8,0,"",340,326,14,"Haslett",14,11,14,18,17,15,32,0.5,0.875,0.483870967741935,0.141962574663929
"nor",2002,"NFL",9,7,0,"",432,388,44,"Haslett",3,19,26,27,10,25,32,0.5625,2.75,0.709677419354839,0.495906106403581
"nor",2001,"NFL",7,9,0,"",333,409,-76,"Haslett",13,10,27,16,24,13,31,0.4375,-4.75,0.233333333333333,-0.774942894899332
"nor",2000,"NFL",10,6,0,"Lost Div",354,305,49,"Haslett",10,10,10,8,12,10,31,0.625,3.0625,0.633333333333333,0.419845456769047
"nor",1999,"NFL",3,13,0,"",260,434,-174,"Ditka",29,19,28,20,29,24,31,0.1875,-10.875,0.0666666666666667,-1.62501895356601
"nor",1998,"NFL",6,10,0,"",305,359,-54,"Ditka",21,28,21,26,19,30,30,0.375,-3.375,0.379310344827586,-0.485030090046059
"nor",1997,"NFL",6,10,0,"",237,327,-90,"Ditka",30,30,16,4,25,27,30,0.375,-5.625,0.172413793103448,-1.01595944035251
"nor",1996,"NFL",3,13,0,"",229,339,-110,"Mora,Venturi",29,29,20,13,28,27,30,0.1875,-6.875,0.0689655172413793,-1.16627334054779
"nor",1995,"NFL",7,9,0,"",319,348,-29,"Mora",20,19,18,22,20,20,30,0.4375,-1.8125,0.344827586206897,-0.342081340059636
"nor",1994,"NFL",7,9,0,"",348,407,-59,"Mora",9,12,27,25,22,17,28,0.4375,-3.6875,0.222222222222222,-0.693685728129903
"nor",1993,"NFL",8,8,0,"",317,343,-26,"Mora",11,21,22,7,20,15,28,0.5,-1.625,0.296296296296296,-0.288127090371192
"nor",1992,"NFL",12,4,0,"Lost WC",330,202,128,"Mora",10,14,1,2,3,7,28,0.75,8,0.925925925925926,1.26002590216588
"nor",1991,"NFL",11,5,0,"Lost WC",341,211,130,"Mora",8,15,1,2,5,4,28,0.6875,8.125,0.851851851851852,1.15662011481971
"nor",1990,"NFL",8,8,0,"Lost WC",274,275,-1,"Mora",22,23,8,15,16,18,28,0.5,-0.0625,0.444444444444444,-0.00957530254688127
"nor",1989,"NFL",9,7,0,"",386,301,85,"Mora",5,11,11,12,6,15,28,0.5625,5.3125,0.814814814814815,0.862876228130893
"nor",1988,"NFL",10,6,0,"",312,283,29,"Mora",18,16,4,12,11,13,28,0.625,1.8125,0.62962962962963,0.367288100734733
"nor",1987,"NFL",12,3,0,"Lost WC",422,283,139,"Mora",2,14,5,4,3,7,28,0.8,9.26666666666667,0.925925925925926,1.53464474419488
"nor",1986,"NFL",7,9,0,"",288,287,1,"Mora",19,21,7,14,15,19,28,0.4375,0.0625,0.481481481481482,0.010228646501391
"nor",1985,"NFL",5,11,0,"",294,401,-107,"Phillips,Phillips",21,27,22,24,23,26,28,0.3125,-6.6875,0.185185185185185,-1.03041750795844
"nor",1984,"NFL",7,9,0,"",298,361,-63,"Phillips",20,20,19,4,22,15,28,0.4375,-3.9375,0.222222222222222,-0.532853318738231
"nor",1983,"NFL",8,8,0,"",319,337,-18,"Phillips",17,23,12,2,16,10,28,0.5,-1.125,0.444444444444444,-0.204437929197886
"nor",1982,"NFL",4,5,0,"",129,160,-31,"Phillips",26,20,8,5,21,13,28,0.444444444444444,-3.44444444444444,0.259259259259259,-0.565931070578398
"nor",1981,"NFL",4,12,0,"",207,378,-171,"Phillips",28,25,24,11,27,23,28,0.25,-10.6875,0.0370370370370371,-1.79355281025352
"nor",1980,"NFL",1,15,0,"",291,487,-196,"Stanfel,Nolan",21,17,28,28,28,27,28,0.0625,-12.25,0,-2.00116565646578
"nor",1979,"NFL",8,8,0,"",370,360,10,"Nolan",6,4,22,22,14,14,28,0.5,0.625,0.518518518518519,0.129896504094799
"nor",1978,"NFL",7,9,0,"",281,298,-17,"Nolan",16,8,16,15,16,9,28,0.4375,-1.0625,0.444444444444444,-0.220059389925103
"nor",1977,"NFL",3,11,0,"",232,336,-104,"Stram",15,21,26,25,24,25,28,0.214285714285714,-7.42857142857143,0.148148148148148,-1.1803006537942
"nor",1976,"NFL",4,10,0,"",253,346,-93,"Stram",17,21,23,19,22,23,28,0.285714285714286,-6.64285714285714,0.222222222222222,-0.72023247050062
"nor",1975,"NFL",2,12,0,"",165,360,-195,"North,Hefferle",26,26,23,13,26,24,26,0.142857142857143,-13.9285714285714,0,-1.56986309920953
"nor",1974,"NFL",5,9,0,"",166,263,-97,"North",24,17,14,7,22,15,26,0.357142857142857,-6.92857142857143,0.16,-1.10561288598795
"nor",1973,"NFL",5,9,0,"",163,312,-149,"North",26,22,18,23,24,24,26,0.357142857142857,-10.6428571428571,0.08,-1.18289141330807
"nor",1972,"NFL",2,11,1,"",215,361,-146,"Roberts",22,20,23,21,23,22,26,0.142857142857143,-10.4285714285714,0.12,-1.22256962774171
"nor",1971,"NFL",4,8,2,"",266,347,-81,"Roberts",15,19,24,22,20,22,26,0.285714285714286,-5.78571428571429,0.24,-0.818537672545621
"nor",1970,"NFL",2,11,1,"",172,347,-175,"Roberts,Fears",25,21,24,26,25,25,26,0.142857142857143,-12.5,0.04,-1.74649654887034
"nor",1969,"NFL",5,9,0,"",311,393,-82,"Fears",6,3,15,15,13,12,16,0.357142857142857,-5.85714285714286,0.2,-0.786984418462015
"nor",1968,"NFL",4,9,1,"",246,327,-81,"Fears",12,12,11,9,11,12,16,0.285714285714286,-5.78571428571429,0.333333333333333,-0.573919283327894
"nor",1967,"NFL",3,11,0,"",233,379,-146,"Fears",14,12,13,13,15,15,16,0.214285714285714,-10.4285714285714,0.0666666666666667,-1.20126979269835
"nyg",2013,"NFL",2,6,0,"",141,223,-82,"Coughlin",30,22,28,15,31,20,32,0.25,-10.25,0.032258064516129,-1.220321085205
"nyg",2012,"NFL",9,7,0,"",429,344,85,"Coughlin",6,14,12,31,8,24,32,0.5625,5.3125,0.774193548387097,0.763270909335568
"nyg",2011,"NFL",9,7,0,"Won SB",394,400,-6,"Coughlin",9,8,25,27,19,12,32,0.5625,-0.375,0.419354838709677,-0.0544443813849791
"nyg",2010,"NFL",10,6,0,"",394,347,47,"Coughlin",7,5,17,7,11,3,32,0.625,2.9375,0.67741935483871,0.484633291704991
"nyg",2009,"NFL",8,8,0,"",402,427,-25,"Coughlin",8,8,30,13,19,10,32,0.5,-1.5625,0.419354838709677,-0.209541302162866
"nyg",2008,"NFL",12,4,0,"Lost Div",427,294,133,"Coughlin",3,7,5,5,3,4,32,0.75,8.3125,0.935483870967742,1.24050632023325
"nyg",2007,"NFL",10,6,0,"Won SB",373,351,22,"Coughlin",14,16,17,7,13,11,32,0.625,1.375,0.612903225806452,0.189139425779207
"nyg",2006,"NFL",8,8,0,"Lost WC",355,362,-7,"Coughlin",11,14,24,25,16,19,32,0.5,-0.4375,0.516129032258065,-0.0756516857074217
"nyg",2005,"NFL",11,5,0,"Lost WC",422,314,108,"Coughlin",3,4,14,24,6,8,32,0.6875,6.75,0.838709677419355,1.02018972376913
"nyg",2004,"NFL",6,10,0,"",303,347,-44,"Coughlin",22,23,17,13,22,24,32,0.375,-2.75,0.32258064516129,-0.481438326174486
"nyg",2003,"NFL",4,12,0,"",243,387,-144,"Fassel",30,20,29,22,31,23,32,0.25,-9,0.032258064516129,-1.46018648225755
"nyg",2002,"NFL",10,6,0,"Lost WC",320,279,41,"Fassel",22,6,3,9,12,5,32,0.625,2.5625,0.645161290322581,0.462094326421519
"nyg",2001,"NFL",7,9,0,"",294,321,-27,"Fassel",21,9,16,14,18,7,31,0.4375,-1.6875,0.433333333333333,-0.275308660030026
"nyg",2000,"NFL",12,4,0,"Lost SB",328,246,82,"Fassel",15,13,5,5,9,8,31,0.75,5.125,0.733333333333333,0.702598519491059
"nyg",1999,"NFL",7,9,0,"",299,358,-59,"Fassel",20,17,23,13,23,15,31,0.4375,-3.6875,0.266666666666667,-0.551012173910313
"nyg",1998,"NFL",8,8,0,"",287,309,-22,"Fassel",23,29,8,19,15,23,30,0.5,-1.375,0.517241379310345,-0.197604851500246
"nyg",1997,"NFL",10,5,1,"Lost WC",307,265,42,"Fassel",21,27,3,18,10,25,30,0.625,2.625,0.689655172413793,0.474114405497836
"nyg",1996,"NFL",6,10,0,"",242,297,-55,"Reeves",28,30,10,14,20,29,30,0.375,-3.4375,0.344827586206897,-0.583136670273897
"nyg",1995,"NFL",5,11,0,"",290,340,-50,"Reeves",24,29,16,17,23,26,30,0.3125,-3.125,0.241379310344828,-0.589795413895925
"nyg",1994,"NFL",9,7,0,"",279,305,-26,"Reeves",22,28,8,11,16,24,28,0.5625,-1.625,0.444444444444444,-0.305692015786059
"nyg",1993,"NFL",11,5,0,"Lost Div",288,205,83,"Reeves",18,10,1,5,6,7,28,0.6875,5.1875,0.814814814814815,0.91979032695419
"nyg",1992,"NFL",6,10,0,"",306,367,-61,"Handley",13,22,26,18,17,21,28,0.375,-3.8125,0.407407407407407,-0.600481094000928
"nyg",1991,"NFL",8,8,0,"",281,297,-16,"Handley",19,16,12,7,19,11,28,0.5,-1,0.333333333333333,-0.142353244900888
"nyg",1990,"NFL",13,3,0,"Won SB",335,211,124,"Parcells",15,17,1,2,2,6,28,0.8125,7.75,0.962962962962963,1.18733751581328
"nyg",1989,"NFL",12,4,0,"Lost Div",348,252,96,"Parcells",12,20,2,5,4,11,28,0.75,6,0.888888888888889,0.974542563536067
"nyg",1988,"NFL",10,6,0,"",359,304,55,"Parcells",8,20,9,11,9,16,28,0.625,3.4375,0.703703703703704,0.696580880703804
"nyg",1987,"NFL",6,9,0,"",280,312,-32,"Parcells",22,18,13,7,18,12,28,0.4,-2.13333333333333,0.37037037037037,-0.353299509454936
"nyg",1986,"NFL",14,2,0,"Won SB",371,236,135,"Parcells",8,10,2,2,2,5,28,0.875,8.4375,0.962962962962963,1.38086727768779
"nyg",1985,"NFL",10,6,0,"Lost Div",399,283,116,"Parcells",6,5,5,2,4,2,28,0.625,7.25,0.888888888888889,1.11708813946896
"nyg",1984,"NFL",9,7,0,"Lost Div",299,301,-2,"Parcells",19,13,8,11,15,14,28,0.5625,-0.125,0.481481481481482,-0.0169159783726423
"nyg",1983,"NFL",3,12,1,"",267,347,-80,"Parcells",25,15,16,5,23,8,28,0.1875,-5,0.185185185185185,-0.90861301865727
"nyg",1982,"NFL",4,5,0,"",164,160,4,"Perkins",17,16,8,7,11,14,28,0.444444444444444,0.444444444444444,0.62962962962963,0.0730233639455998
"nyg",1981,"NFL",9,7,0,"Lost Div",295,257,38,"Perkins",22,28,3,3,13,22,28,0.5625,2.375,0.555555555555556,0.39856729116745
"nyg",1980,"NFL",4,12,0,"",249,425,-176,"Perkins",26,27,27,24,27,28,28,0.25,-11,0.0370370370370371,-1.79696507927539
"nyg",1979,"NFL",6,10,0,"",237,323,-86,"Perkins",27,28,14,19,25,28,28,0.375,-5.375,0.111111111111111,-1.11710993521527
"nyg",1978,"NFL",6,10,0,"",264,298,-34,"McVay",19,23,16,22,22,24,28,0.375,-2.125,0.222222222222222,-0.440118779850206
"nyg",1977,"NFL",5,9,0,"",181,265,-84,"McVay",24,24,21,12,21,23,28,0.357142857142857,-6,0.259259259259259,-0.953319758833774
"nyg",1976,"NFL",3,11,0,"",170,250,-80,"McVay,Arnsparger",25,22,14,16,19,19,28,0.214285714285714,-5.71428571428571,0.333333333333333,-0.619554813333866
"nyg",1975,"NFL",5,9,0,"",216,306,-90,"Arnsparger",23,22,17,21,20,22,26,0.357142857142857,-6.42857142857143,0.24,-0.72455219963517
"nyg",1974,"NFL",2,12,0,"",195,299,-104,"Arnsparger",22,18,23,24,23,23,26,0.142857142857143,-7.42857142857143,0.12,-1.18539938291491
"nyg",1973,"NFL",2,11,1,"",226,362,-136,"Webster",20,14,22,15,22,15,26,0.142857142857143,-9.71428571428571,0.16,-1.07968612221407
"nyg",1972,"NFL",8,6,0,"",331,247,84,"Webster",8,4,7,18,6,12,26,0.571428571428571,6,0.8,0.70339622418016
